Capitulo;Nivel;Codigo;Descripcion
1;PARTIDA;01.01;CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.
1;PARTIDA;01.02;ANIMALES VIVOS DE LA ESPECIE BOVINA.
1;PARTIDA;01.03;ANIMALES VIVOS DE LA ESPECIE PORCINA.
1;PARTIDA;01.04;ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA.
1;PARTIDA;01.05;GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) PINTADAS, DE LAS ESPECIES DOMÉSTICAS, VIVOS.
1;PARTIDA;01.06;LOS DEMÁS ANIMALES VIVOS.
2;PARTIDA;02.01;CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA REFRIGERADA.
2;PARTIDA;02.02;CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA.
2;PARTIDA;02.03;CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA O CONGELADA.
2;PARTIDA;02.04;CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA, REFRIGERADA O CONGELADA.
2;PARTIDA;02.06;DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA, PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS, REFRIGERADOS O CONGELADOS.
2;PARTIDA;02.07;CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05, FRESCOS, REFRIGERADOS O CONGELADOS.
2;PARTIDA;02.08;LAS DEMÁS CARNES Y DESPOJOS COMESTIBLES, FRESCOS, REFRIGERADOS O CONGELADOS.
2;PARTIDA;02.09;TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE SIN FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS.
2;PARTIDA;02.10;"CARNE Y DESPOJOS COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS."
3;PARTIDA;03.01;PECES VIVOS.
3;PARTIDA;03.02;PESCADO FRESCO O REFRIGERADO, EXCEPTO LOS FILETES Y DEMÁS CARNE DE PESCADO DE LA PARTIDA 03.04.
