pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
7;;SECCIÓN I;;;;;;
7;;ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;;;;;;
7;;Notas.;;;;;;
7;;1. En esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales;;;;;;
7;;jóvenes de ese género o de esa especie.;;;;;;
7;;2. Salvo disposición en contrario, cualquier referencia en la Nomenclatura a productos secos o desecados alcanza también a los productos deshidratados,;;;;;;
7;;evaporados o liofilizados.;;;;;;
7;;Nota Complementaria.;;;;;;
7;;1. En las subpartidas correspondientes a los Capítulos 1 y 3, las expresiones Reproductores de raza pura, para reproducción o cría industrial, para lidia y para;;;;;;
7;;carrera, comprenden los animales considerados como tales por la autoridad nacional competente.;;;;;;
7;;CAPÍTULO 1;;;;;;
7;;ANIMALES VIVOS;;;;;;
7;;Nota.;;;;;;
7;;1. Este Capítulo comprende todos los animales vivos, excepto:;;;;;;
7;;"a) los peces, los crustáceos, moluscos y demás invertebrados acuáticos, de las partidas 03.01, 03.06, 03.07 o 03.08;";;;;;;
7;;"b) los cultivos de microorganismos y demás productos de la partida 30.02;";;;;;;
7;;c) los animales de la partida 95.08.;;;;;;
7;;Notas Complementarias:;;;;;;
7;;1. En la subpartida 0102.2 la expresión “bovinos domésticos” comprende los animales de las especies “Bos primigenius Taurus (Bos Taurus)” y “Bos primigenius;;;;;;
7;;Indicus (Bos Indicus)”.;;;;;;
7;;2. En las subpartidas 0105.94.00.10 y 0105.99.00.10, la expresión “especímenes de interés genético”, comprende los animales considerados como tales por la;;;;;;
7;;autoridad nacional con competencia en materia de agricultura.;;;;;;
7;01.01;CABALLOS, ASNOS, MULOS Y BURDÉGANOS, VIVOS.;;;;;;
7;;0101.2 - Caballos:;;;;;;
7;0101.21.00;- - Reproductores de raza pura:;;;;;;
