id_capitulo,id_seccion,numero_capitulo,descripcion,created_at,updated_at
1,1,1,ANIMALES VIVOS,2026-05-09 13:57:11,2026-05-09 13:57:11
2,1,2,CARNE Y DESPOJOS COMESTIBLES,2026-05-09 13:57:11,2026-05-09 13:57:11
3,1,3,"PESCADOS Y CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS",2026-05-09 13:57:11,2026-05-09 13:57:11
4,1,4,"LECHE Y PRODUCTOS LÁCTEOS; HUEVOS DE AVE; MIEL NATURAL; PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",2026-05-09 13:57:11,2026-05-09 13:57:11
5,1,5,LOS DEMÁS PRODUCTOS DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE,2026-05-09 13:57:11,2026-05-09 13:57:11
6,13,6,PLANTAS VIVAS Y PRODUCTOS DE LA FLORICULTURA,2026-05-09 13:57:11,2026-05-09 13:57:11
7,13,7,"HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS",2026-05-09 13:57:11,2026-05-09 13:57:11
8,13,8,"FRUTAS Y FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS (CÍTRICOS), MELONES O SANDÍAS",2026-05-09 13:57:11,2026-05-09 13:57:11
9,13,9,"CAFÉ, TÉ, YERBA MATE Y ESPECIAS",2026-05-09 13:57:11,2026-05-09 13:57:11
10,13,10,CEREALES,2026-05-09 13:57:11,2026-05-09 13:57:11
11,13,11,PRODUCTOS DE LA MOLINERÍA; MALTA; ALMIDÓN Y FÉCULA; INULINA; GLUTEN DE TRIGO,2026-05-09 13:57:11,2026-05-09 13:57:11
12,13,12,SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES; PAJA Y FORRAJE,2026-05-09 13:57:11,2026-05-09 13:57:11
13,13,13,"GOMAS, RESINAS Y DEMÁS JUGOS Y EXTRACTOS VEGETALES",2026-05-09 13:57:11,2026-05-09 13:57:11
14,13,14,"MATERIAS TRENZABLES Y DEMÁS PRODUCTOS DE ORIGEN VEGETAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",2026-05-09 13:57:11,2026-05-09 13:57:11
15,11,15,"GRASAS Y ACEITES, ANIMALES, VEGETALES O DE ORIGEN MICROBIANO, Y PRODUCTOS DE SU DESDOBLAMIENTO; GRASAS ALIMENTICIAS ELABORADAS; CERAS DE ORIGEN ANIMAL O VEGETAL",2026-05-09 13:57:11,2026-05-09 13:57:11
16,12,16,"PREPARACIONES DE CARNE, PESCADO, CRUSTÁCEOS, MOLUSCOS O DEMÁS INVERTEBRADOS ACUÁTICOS, O DE INSECTOS",2026-05-09 13:57:11,2026-05-09 13:57:11
17,12,17,AZÚCARES Y ARTÍCULOS DE CONFITERÍA,2026-05-09 13:57:11,2026-05-09 13:57:11
18,12,18,CACAO Y SUS PREPARACIONES,2026-05-09 13:57:11,2026-05-09 13:57:11
19,12,19,"PREPARACIONES A BASE DE CEREALES, HARINA, ALMIDÓN, FÉCULA O LECHE; PRODUCTOS DE PASTELERÍA",2026-05-09 13:57:11,2026-05-09 13:57:11
20,12,20,"PREPARACIONES DE HORTALIZAS, FRUTAS U OTROS FRUTOS O DEMÁS PARTES DE PLANTAS",2026-05-09 13:57:11,2026-05-09 13:57:11
21,12,21,PREPARACIONES ALIMENTICIAS DIVERSAS,2026-05-09 13:57:11,2026-05-09 13:57:11
22,12,22,"BEBIDAS, LÍQUIDOS ALCOHÓLICOS Y VINAGRE",2026-05-09 13:57:11,2026-05-09 13:57:11
23,12,23,RESIDUOS Y DESPERDICIOS DE LAS INDUSTRIAS ALIMENTARIAS; ALIMENTOS PREPARADOS PARA ANIMALES,2026-05-09 13:57:11,2026-05-09 13:57:11
24,12,24,"TABACO Y SUCEDÁNEOS DEL TABACO ELABORADOS; PRODUCTOS, INCLUSO CON NICOTINA, DESTINADOS PARA LA INHALACIÓN SIN COMBUSTIÓN; OTROS PRODUCTOS QUE CONTENGAN NICOTINA DESTINADOS PARA LA ABSORCIÓN DE NICOTINA EN EL CUERPO HUMANO",2026-05-09 13:57:11,2026-05-09 13:57:11
25,9,25,"SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS",2026-05-09 13:57:11,2026-05-09 13:57:11
26,9,26,"MINERALES METALÍFEROS, ESCORIAS Y CENIZAS",2026-05-09 13:57:11,2026-05-09 13:57:11
27,9,27,"COMBUSTIBLES MINERALES, ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN; MATERIAS BITUMINOSAS; CERAS MINERALES",2026-05-09 13:57:11,2026-05-09 13:57:11
28,10,28,"PRODUCTOS QUÍMICOS INORGÁNICOS; COMPUESTOS INORGÁNICOS U ORGÁNICOS DE METAL PRECIOSO, DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS TIERRAS RARAS O DE ISÓTOPOS",2026-05-09 13:57:11,2026-05-09 13:57:11
29,10,29,PRODUCTOS QUÍMICOS ORGÁNICOS,2026-05-09 13:57:11,2026-05-09 13:57:11
30,10,30,PRODUCTOS FARMACÉUTICOS,2026-05-09 13:57:11,2026-05-09 13:57:11
31,10,31,ABONOS,2026-05-09 13:57:11,2026-05-09 13:57:11
32,10,32,EXTRACTOS CURTIENTES O TINTÓREOS; TANINOS Y SUS DERIVADOS; PIGMENTOS Y DEMÁS MATERIAS COLORANTES; PINTURAS Y BARNICES; MÁSTIQUES; TINTAS,2026-05-09 13:57:11,2026-05-09 13:57:11
33,10,33,"ACEITES ESENCIALES Y RESINOIDES; PREPARACIONES DE PERFUMERÍA, DE TOCADOR O DE COSMÉTICA",2026-05-09 13:57:11,2026-05-09 13:57:11
